Iteración,Entradas_X1,Entradas_X2,Pesos iniciales_W1,Pesos iniciales_W2,Yr,Yd,Error,Pesos finales_W1,Pesos finales_W2
4,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
4,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
5,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
5,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
5,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
5,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
6,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
6,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
6,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
6,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
7,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
7,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
7,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
7,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
8,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
8,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
8,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
8,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
9,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
9,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
9,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
9,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
10,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
10,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
10,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
10,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
11,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
11,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
11,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
11,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
12,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
12,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
12,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
12,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
13,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
13,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
13,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
13,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
14,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
14,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
14,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
14,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
15,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
15,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
15,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
15,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
16,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
16,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
16,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
16,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
17,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
17,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
17,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
17,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
18,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
18,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
18,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
18,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
19,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
19,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
19,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
19,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
20,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
20,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
20,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
20,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
21,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
21,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
21,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
