Iteración,Entradas_X1,Entradas_X2,Pesos iniciales_W1,Pesos iniciales_W2,Yr,Yd,Error,Pesos finales_W1,Pesos finales_W2
44,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
44,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
44,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
45,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
45,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
45,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
45,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
46,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
46,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
46,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
46,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
47,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
47,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
47,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
47,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
48,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
48,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
48,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
48,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
49,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
49,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
49,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
49,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
50,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
50,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
50,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
50,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
51,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
51,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
51,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
51,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
52,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
52,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
52,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
52,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
53,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
53,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
53,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
53,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
54,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
54,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
54,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
54,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
55,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
55,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
55,1,0,-1.0013,1.0107,0,1,1,-0.1013,1.0107
55,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
56,0,0,-1.0013,0.1107,1,0,-1,-1.0013,0.1107
